,Value
2023-02-06,128510.07471909422
2023-02-07,128486.97387721395
2023-02-08,128738.13852097548
2023-02-09,128522.27283520653
2023-02-10,128336.13592129467
2023-02-13,128272.08459077592
2023-02-14,128354.17494275013
2023-02-15,128073.99786379252
2023-02-16,127915.25049452523
2023-02-17,127357.22174160763
2023-02-20,128025.58438404651
2023-02-21,127816.30008757152
2023-02-22,128218.83916111037
2023-02-23,128118.28390899696
2023-02-24,128234.05204726069
2023-02-27,128834.4037132494
2023-02-28,129807.31297458842
2023-03-01,130786.55371300259
2023-03-02,130817.62563871146
2023-03-03,132184.10791213
2023-03-06,132361.31442882115
2023-03-08,132243.11987421644
2023-03-09,132251.23436004278
2023-03-10,132093.78975273445
2023-03-13,131717.47498662386
2023-03-14,132017.2233934419
2023-03-15,132392.4193294092
2023-03-16,132236.7257162718
2023-03-17,132030.13787220843
2023-03-20,132163.13224299334
2023-03-21,132012.5484473555
2023-03-22,131732.5004831976
2023-03-23,131438.28247401665
2023-03-24,131318.73562582282
2023-03-27,130983.31316594357
2023-03-28,131249.5771169004
2023-03-29,131687.56902686507
2023-03-31,131731.91222980586
2023-04-03,131804.97848006882
2023-04-05,131886.51922238478
2023-04-06,131713.49347456387
2023-04-10,132800.6384037526
2023-04-11,133171.960132917
2023-04-12,133780.69727965948
2023-04-13,134242.7076062601
2023-04-17,134513.82078984377
2023-04-18,134891.4350385039
2023-04-19,134314.28876276175
2023-04-20,134526.0067841899
2023-04-21,133830.74743600973
2023-04-24,134128.47690911253
2023-04-25,134478.91410444904
2023-04-26,134679.21531795786
2023-04-27,135026.72979661808
2023-04-28,136570.96992024023
2023-05-02,137077.33257812713
2023-05-03,136179.63624717374
2023-05-04,137791.5547347928
2023-05-05,137697.00499638775
2023-05-08,137948.73082643555
2023-05-09,137974.03719781112
2023-05-10,138121.16691685526
2023-05-11,140356.56483916208
2023-05-12,139729.51908972143
2023-05-15,139773.67113811616
2023-05-16,139362.73807807988
2023-05-17,139555.3976285353
2023-05-18,138670.0657066904
2023-05-19,140252.2316998505
2023-05-22,148832.56420896275
2023-05-23,154039.4398289881
2023-05-24,152331.4674239084
2023-05-25,154154.98953825154
2023-05-26,154889.14333920451
2023-05-29,155657.02856454818
2023-05-30,155037.34008237545
2023-05-31,155775.79330232868
2023-06-01,155731.44840630158
2023-06-02,157136.10475173395
2023-06-05,157621.25755121384
2023-06-06,157741.40285390872
2023-06-07,158704.94985440184
2023-06-08,158511.83014376977
2023-06-09,159535.90741451446
2023-06-12,159803.15785237384
2023-06-13,160988.14064321236
2023-06-14,161921.63921216337
2023-06-15,162680.8138522634
2023-06-16,164149.62194333732
2023-06-19,163378.14144831026
2023-06-20,163278.62627979697
2023-06-21,162770.3815404635
2023-06-22,161570.327904753
2023-06-23,159030.1993532381
2023-06-26,160696.05319832137
2023-06-27,160873.14624563474
2023-06-28,163212.16455784405
2023-06-30,164205.4158378639
2023-07-03,164056.3360732644
2023-07-04,163506.14034579272
2023-07-05,164045.46361751496
2023-07-06,165775.2230595049
2023-07-07,164235.67364967745
2023-07-10,164200.9212413866
2023-07-11,166985.08702617502
2023-07-12,166280.02470127612
2023-07-13,165252.22032112227
2023-07-14,166172.2483181262
2023-07-17,166496.14041989186
2023-07-18,166394.70535834137
2023-07-19,167641.23918304194
2023-07-20,168745.2877054813
2023-07-21,167363.55020626675
2023-07-24,167580.63947195033
2023-07-25,167805.0726147793
2023-07-26,168277.27054664472
2023-07-27,168534.7531424546
2023-07-28,170194.66149551418
2023-07-31,171318.84851934228
2023-08-01,170128.43433819478
2023-08-02,167892.03252543652
2023-08-03,167888.55311596286
2023-08-04,169198.14238752855
2023-08-07,169954.2039482264
2023-08-08,170761.5175986756
2023-08-09,171836.16569120937
2023-08-10,170984.44820814178
2023-08-11,170583.27354130626
2023-08-14,170226.99165007102
2023-08-16,171095.12262038462
2023-08-17,170353.2291749062
2023-08-18,169634.98939363338
2023-08-21,171462.43048414192
2023-08-22,173476.08219133512
2023-08-23,174711.29389467146
2023-08-24,173836.64560594442
2023-08-25,172106.33011069245
2023-08-28,172663.0477043565
2023-08-29,172793.71492349845
2023-08-30,173276.70638817316
2023-08-31,173401.16698094129
2023-09-01,174656.61085422777
2023-09-04,175675.18205575124
2023-09-05,176454.587508114
2023-09-06,176679.0644745376
2023-09-07,177275.5101165473
2023-09-08,178552.8013726364
2023-09-11,179446.99474733332
2023-09-12,175506.26932291195
2023-09-13,176729.740623235
2023-09-14,177820.53224560586
2023-09-15,178228.66156419984
2023-09-18,178222.37046895476
2023-09-20,178049.17846510932
2023-09-21,176330.55583318457
2023-09-22,175462.40693382162
2023-09-25,176596.22089341073
2023-09-26,176404.20110947225
2023-09-27,177733.05943058914
2023-09-28,175984.87649839406
2023-09-29,177408.74892320976
2023-10-03,176788.0797934101
2023-10-04,175036.9669830481
2023-10-05,174958.27790157712
2023-10-06,174557.30978394413
2023-10-09,173643.04260710537
