,Value
2023-09-06,162771.26154042818
2023-09-07,163091.98775991233
2023-09-08,164418.95916797148
2023-09-11,165042.21382433
2023-09-12,161328.27284748902
2023-09-13,162412.65126426
2023-09-14,163409.2040307978
2023-09-15,163473.1731147366
2023-09-18,163776.7084454805
2023-09-20,164033.065532599
2023-09-21,162291.1467561849
2023-09-22,161323.4067108574
2023-09-25,162892.46685267656
2023-09-26,162595.48693862796
2023-09-27,163670.55573940178
2023-09-28,161988.94183022797
2023-09-29,163427.720332853
2023-10-03,162642.5252817882
2023-10-04,160669.3259878744
2023-10-05,160670.5090418025
2023-10-06,160407.82536986092
2023-10-09,159743.74020676018
2023-10-10,160270.42154281808
2023-10-11,160531.09363830992
2023-10-12,160756.38926137675
2023-10-13,161352.1450839315
2023-10-16,162225.30829241808
2023-10-17,162651.9965871045
2023-10-18,161623.3437001716
2023-10-19,161202.58020159972
2023-10-20,159684.21073791472
2023-10-23,157395.93328449377
2023-10-25,156848.72415354135
2023-10-26,157032.59663035726
2023-10-27,156993.26661471417
2023-10-30,156760.89344053934
2023-10-31,156664.64418365198
2023-11-01,156530.94608103664
2023-11-02,156307.3051073194
2023-11-03,156491.3345955703
2023-11-06,156323.90770976734
2023-11-07,157035.26397568427
2023-11-08,157025.79594032225
2023-11-09,156738.1671967882
2023-11-10,156698.8534187914
2023-11-13,156549.54419589712
2023-11-15,156325.10166578807
2023-11-16,156388.82114297897
2023-11-17,156796.27078630362
2023-11-20,157211.24016964037
2023-11-21,157561.3945970977
2023-11-22,157770.5566267239
2023-11-23,157399.6906947359
2023-11-24,157495.20688094568
2023-11-28,159061.08220578934
2023-11-29,160111.2555488377
2023-11-30,162444.07211553297
2023-12-01,164401.68487002418
2023-12-04,167366.51045129806
2023-12-05,169228.83109343302
2023-12-06,169145.46626764286
2023-12-07,168996.71602320805
2023-12-08,169021.0307698064
2023-12-11,171007.37641952233
2023-12-12,169968.69778979657
2023-12-13,172301.46385975543
2023-12-14,173641.84442409442
2023-12-15,174920.22205953998
2023-12-18,174535.6785974772
2023-12-19,176849.5353620921
2023-12-20,172191.47498420553
2023-12-21,173973.52119113607
2023-12-22,175007.89175350868
2023-12-26,177101.34006989174
2023-12-27,178005.806738753
2023-12-28,179601.04271676237
2023-12-29,179486.26815734574
2024-01-01,179278.15878851232
2024-01-02,178706.2703626761
2024-01-03,179996.61581059283
2024-01-04,181758.75005329496
2024-01-05,181549.65209104202
2024-01-08,180364.35867069653
2024-01-09,182151.9397619308
2024-01-10,182798.61308606964
2024-01-11,182346.9446207617
2024-01-12,183151.55066710795
2024-01-15,184077.19345829127
2024-01-16,183102.87304119483
2024-01-17,181542.63618116674
2024-01-18,180620.0219279815
2024-01-19,183219.25598916653
2024-01-23,179274.10059251342
2024-01-24,182028.84821155193
2024-01-25,181866.10573679573
2024-01-29,185511.7160203592
2024-01-30,182446.75916255434
2024-01-31,183421.00386305837
2024-02-01,182884.23078633286
2024-02-02,185469.8239903316
2024-02-05,186326.26060136408
2024-02-06,188411.4636297383
2024-02-07,190796.63746491016
2024-02-08,193161.2188272742
2024-02-09,192042.79511829664
2024-02-12,188354.16796644946
2024-02-13,191107.9658109708
2024-02-14,193557.45710406112
2024-02-15,195724.8827447645
2024-02-16,197052.5025957917
